segment_name,bleu,bert_precision,bert_recall,bert_f1,meteor
В_Еміратах_сьогодні_seg001,54.23,0.7329,0.7221,0.7279,0.7581
В_Еміратах_сьогодні_seg002,57.77,0.7689,0.7406,0.7551,0.7725
Діалог_з_Америкою_seg001,62.93,0.7853,0.7648,0.7754,0.8302
Діалог_з_Америкою_seg002,52.32,0.6985,0.7048,0.7021,0.7566
"Знаємо,_що_росіяни_seg001",56.67,0.7562,0.752,0.7545,0.7444
"Знаємо,_що_росіяни_seg002",57.44,0.7166,0.701,0.7092,0.6967
Командна_ланка_seg001,58.34,0.7211,0.7212,0.7216,0.7316
Наша_стратегія_seg001,58.19,0.6902,0.7019,0.6965,0.7762
Наша_стратегія_seg002,62.66,0.7831,0.7873,0.7856,0.7733
Отримуємо_хороші_seg001,55.86,0.7814,0.7633,0.7727,0.7092
Поведінка_seg001,52.3,0.6941,0.692,0.6936,0.6691
Поведінка_seg002,54.36,0.7739,0.7687,0.7717,0.7414
