variant,segment,n_sys,n_ref,n_match,precision,recall,f1
baseline,В_Еміратах_сьогодні_seg001,21,27,8,0.38095238095238093,0.2962962962962963,0.3333333333333333
baseline,В_Еміратах_сьогодні_seg002,3,12,0,0.0,0.0,0.0
baseline,Діалог_з_Америкою_seg001,12,16,10,0.8333333333333334,0.625,0.7142857142857143
baseline,Діалог_з_Америкою_seg002,13,17,3,0.23076923076923078,0.17647058823529413,0.20000000000000004
baseline,"Знаємо,_що_росіяни_seg001",14,23,7,0.5,0.30434782608695654,0.3783783783783784
baseline,"Знаємо,_що_росіяни_seg002",15,14,8,0.5333333333333333,0.5714285714285714,0.5517241379310344
baseline,Командна_ланка_seg001,22,23,11,0.5,0.4782608695652174,0.4888888888888889
baseline,Наша_стратегія_seg001,23,23,10,0.43478260869565216,0.43478260869565216,0.43478260869565216
baseline,Наша_стратегія_seg002,10,13,3,0.3,0.23076923076923078,0.2608695652173913
baseline,Отримуємо_хороші_seg001,19,24,8,0.42105263157894735,0.3333333333333333,0.372093023255814
baseline,Поведінка_seg001,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999
baseline,Поведінка_seg002,7,9,6,0.8571428571428571,0.6666666666666666,0.75
exact,В_Еміратах_сьогодні_seg001,21,27,9,0.42857142857142855,0.3333333333333333,0.375
exact,В_Еміратах_сьогодні_seg002,3,12,0,0.0,0.0,0.0
exact,Діалог_з_Америкою_seg001,13,16,10,0.7692307692307693,0.625,0.6896551724137931
exact,Діалог_з_Америкою_seg002,14,17,3,0.21428571428571427,0.17647058823529413,0.1935483870967742
exact,"Знаємо,_що_росіяни_seg001",14,23,7,0.5,0.30434782608695654,0.3783783783783784
exact,"Знаємо,_що_росіяни_seg002",15,14,8,0.5333333333333333,0.5714285714285714,0.5517241379310344
exact,Командна_ланка_seg001,22,23,12,0.5454545454545454,0.5217391304347826,0.5333333333333332
exact,Наша_стратегія_seg001,23,23,10,0.43478260869565216,0.43478260869565216,0.43478260869565216
exact,Наша_стратегія_seg002,10,13,3,0.3,0.23076923076923078,0.2608695652173913
exact,Отримуємо_хороші_seg001,19,24,8,0.42105263157894735,0.3333333333333333,0.372093023255814
exact,Поведінка_seg001,12,12,11,0.9166666666666666,0.9166666666666666,0.9166666666666666
exact,Поведінка_seg002,7,9,6,0.8571428571428571,0.6666666666666666,0.75
phonetic,В_Еміратах_сьогодні_seg001,20,27,8,0.4,0.2962962962962963,0.3404255319148936
phonetic,В_Еміратах_сьогодні_seg002,3,12,0,0.0,0.0,0.0
phonetic,Діалог_з_Америкою_seg001,11,16,10,0.9090909090909091,0.625,0.7407407407407406
phonetic,Діалог_з_Америкою_seg002,13,17,3,0.23076923076923078,0.17647058823529413,0.20000000000000004
phonetic,"Знаємо,_що_росіяни_seg001",14,23,7,0.5,0.30434782608695654,0.3783783783783784
phonetic,"Знаємо,_що_росіяни_seg002",15,14,8,0.5333333333333333,0.5714285714285714,0.5517241379310344
phonetic,Командна_ланка_seg001,22,23,11,0.5,0.4782608695652174,0.4888888888888889
phonetic,Наша_стратегія_seg001,23,23,10,0.43478260869565216,0.43478260869565216,0.43478260869565216
phonetic,Наша_стратегія_seg002,10,13,3,0.3,0.23076923076923078,0.2608695652173913
phonetic,Отримуємо_хороші_seg001,19,24,8,0.42105263157894735,0.3333333333333333,0.372093023255814
phonetic,Поведінка_seg001,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999
phonetic,Поведінка_seg002,7,9,6,0.8571428571428571,0.6666666666666666,0.75
llm_corr,В_Еміратах_сьогодні_seg001,21,27,8,0.38095238095238093,0.2962962962962963,0.3333333333333333
llm_corr,В_Еміратах_сьогодні_seg002,3,12,0,0.0,0.0,0.0
llm_corr,Діалог_з_Америкою_seg001,13,16,10,0.7692307692307693,0.625,0.6896551724137931
