segment_name,wer,cer,words_ref,words_hyp,substitutions,deletions,insertions
В_Еміратах_сьогодні_seg001,0.0616,0.0172,341,340,18,2,1
В_Еміратах_сьогодні_seg002,0.0471,0.0066,191,192,8,0,1
Діалог_з_Америкою_seg001,0.067,0.0159,388,386,24,2,0
Діалог_з_Америкою_seg002,0.1288,0.0497,163,165,15,2,4
"Знаємо,_що_росіяни_seg001",0.1145,0.0246,358,359,32,4,5
"Знаємо,_що_росіяни_seg002",0.0967,0.0214,362,363,32,1,2
Командна_ланка_seg001,0.1339,0.0293,351,344,36,9,2
Наша_стратегія_seg001,0.1014,0.0229,345,339,27,7,1
Наша_стратегія_seg002,0.0686,0.0116,277,277,19,0,0
Отримуємо_хороші_seg001,0.0764,0.0222,445,443,28,4,2
Поведінка_seg001,0.0652,0.0134,368,365,19,4,1
Поведінка_seg002,0.0734,0.017,218,215,13,3,0
