segment_name,bleu,bert_precision,bert_recall,bert_f1,meteor
В_Еміратах_сьогодні_seg001,50.87,0.7089,0.6993,0.7046,0.7007
В_Еміратах_сьогодні_seg002,46.27,0.7254,0.6771,0.7017,0.6836
Діалог_з_Америкою_seg001,65.13,0.7617,0.7451,0.7538,0.8325
Діалог_з_Америкою_seg002,56.75,0.7408,0.7422,0.7419,0.7924
"Знаємо,_що_росіяни_seg001",57.09,0.6761,0.6694,0.6732,0.7211
"Знаємо,_що_росіяни_seg002",55.27,0.6396,0.625,0.6329,0.7109
Командна_ланка_seg001,60.15,0.7089,0.7032,0.7065,0.7569
Наша_стратегія_seg001,61.87,0.7706,0.7459,0.7586,0.7752
Наша_стратегія_seg002,62.47,0.7909,0.7946,0.7931,0.8023
Отримуємо_хороші_seg001,57.19,0.7169,0.7335,0.7256,0.733
Поведінка_seg001,52.95,0.7071,0.7104,0.7092,0.6805
Поведінка_seg002,57.97,0.7991,0.7892,0.7945,0.7571
